iter	Passed	Remaining
911	4465	430
912	4468	425
913	4471	420
914	4473	415
915	4476	410
916	4479	405
917	4481	400
918	4485	395
919	4487	390
920	4488	385
921	4490	379
922	4494	374
923	4497	369
924	4500	364
925	4504	359
926	4507	354
927	4510	349
928	4514	344
929	4517	340
930	4520	335
931	4524	330
932	4526	325
933	4529	320
934	4532	315
935	4535	310
936	4538	305
937	4542	300
938	4545	295
939	4548	290
940	4551	285
941	4554	280
942	4557	275
943	4560	270
944	4563	265
945	4565	260
946	4568	255
947	4571	250
948	4574	245
949	4576	240
950	4579	235
951	4581	231
952	4584	226
953	4587	221
954	4590	216
955	4593	211
956	4596	206
957	4609	202
958	4615	197
959	4623	192
960	4628	187
961	4631	182
962	4634	178
963	4638	173
964	4640	168
965	4643	163
966	4645	158
967	4648	153
968	4650	148
969	4653	143
970	4655	139
971	4658	134
972	4659	129
973	4662	124
974	4664	119
975	4667	114
976	4670	109
977	4674	105
978	4678	100
979	4681	95
980	4684	90
981	4686	85
982	4689	81
983	4691	76
984	4694	71
985	4697	66
986	4700	61
987	4703	57
988	4705	52
989	4708	47
990	4710	42
991	4714	38
992	4716	33
993	4719	28
994	4722	23
995	4725	18
996	4727	14
997	4730	9
998	4733	4
999	4736	0
